epoch,train_loss,train_acc,val_loss,val_acc,lr,best_acc
1,0.6251,0.6357,0.5782,0.6558,0.000905,0.0000
2,0.6155,0.6481,0.5677,0.6623,0.000655,0.6558
3,0.3944,0.8105,0.2480,0.8932,0.000090,0.6623
4,0.1964,0.9214,0.1031,0.9595,0.000065,0.8932
5,0.1313,0.9482,0.0896,0.9650,0.000035,0.9595
6,0.1015,0.9612,0.0846,0.9692,0.000010,0.9650
7,0.0828,0.9670,0.0764,0.9702,0.000100,0.9692
8,0.0974,0.9620,0.1763,0.9469,0.000098,0.9702
9,0.0850,0.9682,0.1007,0.9660,0.000090,0.9702
10,0.0706,0.9730,0.0598,0.9772,0.000079,0.9702
11,0.0609,0.9769,0.0695,0.9738,0.000065,0.9772
12,0.0487,0.9826,0.0643,0.9775,0.000050,0.9772
13,0.0392,0.9854,0.0483,0.9828,0.000035,0.9775
14,0.0356,0.9872,0.0482,0.9845,0.000021,0.9828
15,0.0312,0.9884,0.0611,0.9807,0.000010,0.9845
